Standard Curve,0,20,40,60,80,100,120,140,160,179,199,218,238,257,276,295,313,332,350,368,386,404,421,438,455,472,488,504,520,536,551,566,581,595,610,623,637,650,663,676,688,700,712,723,734,745,756,766,776,786,795,804,813,821,830,838,845,853,860,867,873,880,886,892,898,903,908,913,918,923,927,931,936,939,943,947,950,953,956,959,962,965,967,970,972,974,976,978,980,982,983,985,986,988,989,990,991,993,994,995,995,996,997,998,999,999,1000,1000,1001,1002,1002,1002,1003,1003,1004,1004,1004,1005,1005,1005,1005,1005,1006,1006,1006,1006,1008,1008
Sigmoid,0,3,4,5,6,7,9,10,13,15,18,22,27,32,38,46,55,66,79,94,111,131,154,181,211,244,281,321,364,409,456,504,552,599,644,687,727,764,797,827,854,877,897,914,929,942,953,962,970,976,981,986,990,993,995,998,999,1001,1002,1003,1004,1005,1005,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008
Gaussian,0,2,6,14,25,39,56,75,97,122,148,176,205,236,268,301,335,369,402,436,470,503,535,567,597,627,655,683,709,733,757,779,799,818,836,853,868,883,896,907,918,928,937,945,953,959,965,971,975,979,983,986,989,992,994,996,998,999,1000,1002,1003,1003,1004,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008
